epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_corn,precision_orchards,precision_perm._meadows,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_wheat,recall_corn,recall_orchards,recall_perm._meadows,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.3302626421011368,0.12143265236412448,0.3302626421011368,0.13408120081093475,0.2518507940825074,0.3302626421011368,0.2491414356787491,0.3302626421011368,0.3302626421011368,0.10221141077522866,0.21049932708652627,0.0,0.0,0.0,0.13988439306358383,0.0,0.058522311631309436,0.0,0.5170731707317073,0.0,0.0,0.6019900497512438,0.0,0.4,0.0,0.742,2.4928322,2.0852077,368457792,368457792,185.227037191391,101895
1,0.5005880047040376,0.27429622638834106,0.5005880047040376,0.400207313925201,0.439738245462241,0.5005880047040376,0.46695506564415024,0.5005880047040376,0.5005880047040376,0.436446768865386,0.5556202913010249,0.3929112689756028,0.484,0.6715176715176715,0.40498442367601245,0.359375,0.34146341463414637,0.27586206896551724,0.5179248032643544,0.242,0.16141929035482258,0.6467661691542289,0.23,0.7,0.4,0.8885,2.102743,1.2507939,368457792,736915584,190.3767306804657,101895
2,0.6791454331634653,0.5381226418715028,0.6791454331634653,0.5533726403637319,0.6740598922438836,0.6791454331634653,0.6185347422237708,0.6791454331634653,0.6791454331634653,0.5523288380225745,0.7447933230248314,0.5871079829166581,0.743142144638404,0.9166666666666666,0.44505494505494503,0.2540983606557377,0.6046511627906976,0.23529411764705882,0.6673944687045124,0.596,0.48375812093953025,0.40298507462686567,0.62,0.91,0.4,0.917,1.3825128,0.9417683,368457792,1105373376,185.33624815940857,101895
3,0.79968639749118,0.7157284545445228,0.79968639749118,0.6148167771599854,0.8038541508022456,0.79968639749118,0.6856651546295084,0.79968639749118,0.79968639749118,0.6026886205428051,0.8369328318116936,0.587568851888695,0.7391304347826086,0.9877883310719131,0.4519774011299435,0.3888888888888889,0.5327868852459017,0.28888888888888886,0.8293595137914913,0.884,0.7276361819090454,0.7960199004975125,0.14,0.975,0.39,0.887,1.0848475,0.70873415,368457792,1473831168,185.60116982460022,101895
4,0.858094864758918,0.7973535945652102,0.858094864758918,0.6872959088160522,0.8723526511258543,0.858094864758918,0.7452500391595247,0.858094864758918,0.858094864758918,0.6587143743513213,0.8934061800435807,0.720655284313667,0.8747553816046967,0.9755555555555555,0.437984496124031,0.31645569620253167,0.8609865470852018,0.21774193548387097,0.9275210084033614,0.894,0.8775612193903048,0.5621890547263682,0.5,0.96,0.54,0.883,0.9001156,0.590081,368457792,1842288960,188.8895628452301,101895
5,0.833202665621325,0.7652788438261142,0.8332026656213251,0.6475300828065255,0.8477336838807387,0.833202665621325,0.7236033619650728,0.833202665621325,0.833202665621325,0.62298222263645,0.8817996605401484,0.6844089949997064,0.6504065040650406,0.9879807692307693,0.5434782608695652,0.2641509433962264,0.76171875,0.20920502092050208,0.9439353099730459,0.96,0.8215892053973014,0.373134328358209,0.56,0.975,0.5,0.8755,0.7788261,0.6544593,368457792,2210746752,187.294686794281,101895
6,0.8898471187769502,0.8396747560166894,0.8898471187769502,0.6965901604423875,0.8913923844001159,0.8898471187769502,0.7253016306345762,0.8898471187769502,0.8898471187769502,0.6852076975560822,0.8983793584645358,0.6688771655867634,0.8754578754578755,0.9863313285948606,0.632258064516129,0.3614457831325301,0.6953405017921147,0.3270440251572327,0.9185763042418332,0.956,0.9015492253873063,0.48756218905472637,0.3,0.97,0.52,0.942,0.78079677,0.38787287,368457792,2579204544,184.3119604587555,101895
7,0.9137593100744806,0.8744972353253988,0.9137593100744806,0.7493450222193244,0.9169777565502171,0.9137593100744806,0.7742532880681194,0.9137593100744806,0.9137593100744806,0.7416340605761648,0.9236481302183233,0.7257248880004727,0.9282945736434108,0.9776855215360665,0.5373665480427047,0.49206349206349204,0.9368932038834952,0.36363636363636365,0.9554987212276215,0.958,0.9415292353823088,0.7512437810945274,0.31,0.965,0.56,0.934,0.8054908,0.3715632,368457792,2947662336,186.39232516288757,101895
8,0.8845550764406115,0.834473007131522,0.8845550764406115,0.7039390548448807,0.8944020174093307,0.8845550764406115,0.7568763629912123,0.8845550764406115,0.8845550764406115,0.68495264853006,0.9120707890876563,0.7140605508588036,0.830220713073005,0.9896174863387979,0.5914634146341463,0.3162393162393162,0.8678414096916299,0.24452554744525548,0.9547606522882693,0.978,0.9050474762618691,0.48258706467661694,0.37,0.985,0.67,0.9075,0.6856094,0.47468704,368457792,3316120128,184.81355237960815,101895
9,0.8771070168561349,0.8229491625441381,0.8771070168561349,0.6967832507237876,0.8853887412088451,0.8771070168561349,0.7328807115631949,0.8771070168561349,0.8771070168561349,0.6974055085838556,0.9057347518199438,0.6568804797813097,0.9595744680851064,0.9868721461187214,0.389010989010989,0.4482758620689655,0.9056603773584906,0.275,0.9174447174447175,0.902,0.8640679660169915,0.8805970149253731,0.26,0.96,0.33,0.9335,0.67342675,0.4907985,368457792,3684577920,190.9611885547638,101895
10,0.9163073304586437,0.8775548102174704,0.9163073304586437,0.7385709593536048,0.9185133675585805,0.9163073304586437,0.7607736105294899,0.9163073304586437,0.9163073304586437,0.743744650404583,0.924947267899829,0.6899170954784806,0.9664570230607966,0.966144517433047,0.58,0.45652173913043476,0.9408866995073891,0.33695652173913043,0.9592460519612838,0.922,0.9555222388805598,0.7213930348258707,0.21,0.955,0.62,0.9415,0.74150205,0.3381443,368457792,4053035712,185.59356331825256,101895
11,0.8990591924735398,0.8516672830425207,0.8990591924735398,0.7152619333810636,0.8964774667764915,0.8990591924735398,0.7396041963027015,0.8990591924735398,0.8990591924735398,0.7527966578441944,0.9070596734916057,0.5774053437158131,0.9693877551020408,0.990990990990991,0.5724907063197026,0.5,0.9641025641025641,0.391025641025641,0.881578947368421,0.95,0.879560219890055,0.7661691542288557,0.06,0.94,0.61,0.9715,0.64969337,0.380857,368457792,4421493504,191.35676336288452,101895
12,0.9112112896903175,0.8709245879197747,0.9112112896903175,0.7431444503450437,0.9147400931335151,0.9112112896903175,0.7656689283290126,0.9112112896903175,0.9112112896903175,0.742006954480415,0.9240610316934713,0.7025245086153853,0.9444444444444444,0.9861995753715499,0.48342541436464087,0.453125,0.9896907216494846,0.3925233644859813,0.9446401610468043,0.952,0.928535732133933,0.8706467661691543,0.29,0.96,0.42,0.9385,0.68560064,0.3980018,368457792,4789951296,193.6969656944275,101895
13,0.9176793414347315,0.8798201508591257,0.9176793414347315,0.7373316854751878,0.9205572174990299,0.9176793414347315,0.7654561631764075,0.9176793414347315,0.9176793414347315,0.7607475491472512,0.9313834960831873,0.6795822628136217,0.9769392033542977,0.975922131147541,0.56,0.5666666666666667,0.9692307692307692,0.31862745098039214,0.9578466226510919,0.932,0.952023988005997,0.7661691542288557,0.17,0.945,0.65,0.943,0.64067787,0.33221486,368457792,5158409088,186.57907581329346,101895
14,0.8931791454331635,0.8451170187854359,0.8931791454331635,0.7451960517796846,0.8987602754632292,0.8931791454331635,0.7809947840578645,0.8931791454331635,0.8931791454331635,0.7418856217952203,0.9137951952061388,0.7319010393154517,0.9752066115702479,0.9902634593356243,0.5254777070063694,0.4915254237288136,0.9846938775510204,0.32142857142857145,0.9046037019458947,0.944,0.8640679660169915,0.8208955223880597,0.29,0.965,0.63,0.953,0.63977975,0.42100498,368457792,5526866880,189.0209457874298,101895
15,0.9016072128577028,0.8571888188142007,0.9016072128577028,0.6869472955934325,0.903728770591221,0.9016072128577028,0.7354300525643361,0.9016072128577028,0.9016072128577028,0.7129243390426498,0.9203131822820472,0.4462179821408118,0.9681528662420382,0.9835194045720361,0.42823529411764705,0.3333333333333333,0.9893617021276596,0.3419354838709677,0.9459322890348661,0.912,0.9245377311344328,0.9054726368159204,0.01,0.93,0.53,0.936,0.6334593,0.40648925,368457792,5895324672,188.94615936279297,101895
16,0.8867110936887496,0.8369985260002838,0.8867110936887496,0.6803927473139109,0.8948070601958055,0.8867110936887496,0.7435620654491518,0.8867110936887496,0.8867110936887496,0.678262956124864,0.9157071241511792,0.6729150971478307,0.8852459016393442,0.9761781460383221,0.5365853658536586,0.2578125,0.8666666666666667,0.2535211267605634,0.971830985915493,0.972,0.9420289855072463,0.21890547263681592,0.66,0.975,0.54,0.897,0.7342557,0.42763335,368457792,6263782464,184.6174623966217,101895
17,0.8988631909055272,0.8545055345640765,0.8988631909055272,0.7274631697785784,0.9079396321844376,0.8988631909055272,0.7734543959363602,0.8988631909055272,0.8988631909055272,0.6975895570619696,0.9211159912966792,0.7419379097560527,0.8998144712430427,0.9876873661670236,0.5252918287937743,0.3375796178343949,0.9061032863849765,0.2634730538922156,0.9631772751183587,0.97,0.9220389805097451,0.6716417910447762,0.53,0.965,0.44,0.9155,0.6602997,0.42348868,368457792,6632240256,187.90334272384644,101895
18,0.9008232065856527,0.8549368253822515,0.9008232065856527,0.7290716866246886,0.9011120887597025,0.9008232065856527,0.7526719982226371,0.9008232065856527,0.9008232065856527,0.7931439253520847,0.9185226996137323,0.6500016798126734,0.9807280513918629,0.989391401451703,0.5057803468208093,0.8235294117647058,0.9547738693467337,0.39705882352941174,0.9007455731593662,0.916,0.8855572213893054,0.8706467661691543,0.14,0.95,0.54,0.9665,0.5930928,0.38354713,368457792,7000698048,186.3248734474182,101895
19,0.9008232065856527,0.8570828630992391,0.9008232065856527,0.7284066291380709,0.9064114876535553,0.9008232065856527,0.7851013064896123,0.9008232065856527,0.9008232065856527,0.6987767837853157,0.9178083948623692,0.7279751729513089,0.9165085388994307,0.9897297297297297,0.5234375,0.3701923076923077,0.8089430894308943,0.3291139240506329,0.9535123966942148,0.966,0.9150424787606197,0.6666666666666666,0.77,0.995,0.26,0.923,0.66659176,0.37536806,368457792,7369155840,186.3902289867401,101895
20,0.8994511956095649,0.8554068266105146,0.8994511956095649,0.7349894669010616,0.9082709267092072,0.8994511956095649,0.7815306472563293,0.8994511956095649,0.8994511956095649,0.7100864949075406,0.9225918269042044,0.7502219404945637,0.8781362007168458,0.972986748216106,0.5757575757575758,0.358974358974359,0.9420289855072463,0.26548672566371684,0.9772348695169351,0.98,0.9540229885057471,0.6616915422885572,0.42,0.975,0.6,0.88,0.5343929,0.39443883,368457792,7737613632,184.36011600494385,101895
21,0.9063112504900039,0.8642922765731902,0.9063112504900039,0.7205468286295232,0.9126522931742038,0.9063112504900039,0.7622268838928085,0.9063112504900039,0.9063112504900039,0.7061381967750954,0.924207373721915,0.7211219868126629,0.9111111111111111,0.9858934169278997,0.5571428571428572,0.2803738317757009,0.9023255813953488,0.33986928104575165,0.9662512980269989,0.984,0.9430284857571214,0.3880597014925373,0.6,0.97,0.52,0.9305,0.61262524,0.35159498,368457792,8106071424,185.36654901504517,101895
22,0.9100352802822422,0.8694894942859877,0.9100352802822422,0.7532803884635315,0.9155149124975289,0.9100352802822422,0.7902625728713469,0.9100352802822422,0.9100352802822422,0.7400197064523643,0.9256837702798453,0.7448302116987867,0.9508840864440079,0.989148128052089,0.6208333333333333,0.4189189189189189,0.9466019417475728,0.31336405529953915,0.940387481371088,0.968,0.9110444777611194,0.7412935323383084,0.31,0.975,0.68,0.9465,0.61343324,0.37850487,368457792,8474529216,184.16010427474976,101895
23,0.9098392787142298,0.8696063845379347,0.9098392787142298,0.7504662685921222,0.9177697650450032,0.9098392787142298,0.7912443064182194,0.9098392787142298,0.9098392787142298,0.7263419826316417,0.9293129091749571,0.7644078188563027,0.9473684210526315,0.9913185024416712,0.5903083700440529,0.3546511627906977,0.9603960396039604,0.2857142857142857,0.9546370967741935,0.972,0.9130434782608695,0.6666666666666666,0.61,0.97,0.46,0.947,0.5347629,0.37972155,368457792,8842987008,182.77987432479858,101895
24,0.9208153665229322,0.8845241893488937,0.9208153665229322,0.7555098101365919,0.9235356639416655,0.9208153665229322,0.7796592199635789,0.9208153665229322,0.9208153665229322,0.7507633239766472,0.9296101778995848,0.7347056505926632,0.9029304029304029,0.9819214876033058,0.6763005780346821,0.4473684210526316,0.9471153846153846,0.3383838383838384,0.961323155216285,0.986,0.9500249875062469,0.582089552238806,0.34,0.985,0.67,0.9445,0.56547546,0.28354967,368457792,9211444800,192.21495151519775,101895
25,0.8998431987455899,0.8558513140774371,0.8998431987455899,0.7446869248577157,0.9084204408413281,0.8998431987455899,0.7994058956662393,0.8998431987455899,0.8998431987455899,0.7118848363617081,0.9220273181219842,0.7733929932656095,0.9459459459459459,0.9895547003848268,0.524390243902439,0.3858695652173913,0.9036697247706422,0.2848101265822785,0.9489535477284329,0.98,0.8995502248875562,0.6417910447761194,0.71,0.985,0.45,0.9295,0.57645833,0.41720515,368457792,9579902592,187.04633975028992,101895
26,0.9194433555468444,0.8829583404940525,0.9194433555468444,0.7641409014580508,0.9237701904061831,0.9194433555468444,0.7944209137435546,0.9194433555468444,0.9194433555468444,0.7412874419545293,0.9299343992319417,0.763839031230534,0.9496124031007752,0.9823008849557522,0.5714285714285714,0.42201834862385323,0.9292452830188679,0.3724137931034483,0.9619928094504365,0.98,0.9430284857571214,0.7164179104477612,0.46,0.985,0.54,0.9365,0.61083806,0.34111202,368457792,9948360384,185.39640879631042,101895
27,0.9117992943943551,0.8717350655067942,0.9117992943943551,0.7405582266934433,0.9175188296778636,0.9117992943943551,0.7748391486559492,0.9117992943943551,0.9117992943943551,0.7327917630666504,0.9280607049007422,0.7322072388541858,0.9567779960707269,0.9888238424693986,0.6903225806451613,0.34285714285714286,0.9032258064516129,0.30042918454935624,0.9471057884231537,0.974,0.928535732133933,0.5323383084577115,0.36,0.98,0.7,0.949,0.5582634,0.34838545,368457792,10316818176,184.45551538467407,101895
28,0.9080752646021168,0.8671112216648809,0.9080752646021168,0.7310755656980513,0.9140524320525398,0.9080752646021168,0.7792024707262574,0.9080752646021168,0.9080752646021168,0.7182338613619625,0.9261813197327148,0.7253865112075387,0.8911070780399274,0.9869041382922996,0.603448275862069,0.30916030534351147,0.8986175115207373,0.37037037037037035,0.9680293501048218,0.982,0.9415292353823088,0.5223880597014925,0.81,0.975,0.3,0.9235,0.60515547,0.34201026,368457792,10685275968,188.29646682739258,101895
29,0.907095256762054,0.8657735807376729,0.907095256762054,0.7465512592719913,0.9138643792722063,0.907095256762054,0.7882598743272287,0.907095256762054,0.907095256762054,0.7418232692631256,0.9291024575221095,0.7350664400282895,0.9754601226993865,0.9906900328587076,0.4885057471264368,0.509090909090909,0.9556650246305419,0.32460732984293195,0.9487437185929648,0.954,0.904047976011994,0.845771144278607,0.28,0.97,0.62,0.944,0.54584795,0.41249526,368457792,11053733760,189.80301308631897,101895
30,0.9174833398667189,0.8801929236058664,0.9174833398667189,0.7463982417928128,0.9212738645974621,0.9174833398667189,0.7800744675636595,0.9174833398667189,0.9174833398667189,0.7252720444807016,0.9277203076680247,0.7282720286585042,0.9261363636363636,0.9848563968668407,0.5662650602409639,0.3772455089820359,0.9116279069767442,0.34523809523809523,0.9655349794238683,0.978,0.9425287356321839,0.7014925373134329,0.63,0.98,0.29,0.9385,0.55332345,0.30265957,368457792,11422191552,186.8163719177246,101895
31,0.9215993727949824,0.8860456130241243,0.9215993727949824,0.7739364696967671,0.9264611807871168,0.9215993727949824,0.8041501264293226,0.9215993727949824,0.9215993727949824,0.7557952529373849,0.9343236382582926,0.7771141757552388,0.9754601226993865,0.9884149552395998,0.5614035087719298,0.5053763440860215,0.9368932038834952,0.3660130718954248,0.9570055639858371,0.954,0.9380309845077461,0.7960199004975125,0.47,0.965,0.56,0.946,0.5756389,0.34213996,368457792,11790649344,184.1446568965912,101895
32,0.9253234025872207,0.8906646642930665,0.9253234025872207,0.7741584639576604,0.927691818871428,0.9253234025872207,0.7888138430784608,0.9253234025872207,0.9253234025872207,0.7626614760704712,0.9310348074563654,0.7598348387304094,0.9607072691552063,0.9879138202837625,0.6666666666666666,0.4016393442622951,0.955,0.424,0.9427032321253673,0.978,0.9395302348825587,0.6666666666666666,0.49,0.955,0.53,0.9625,0.5185783,0.26301923,368457792,12159107136,189.61351323127747,101895
33,0.915719325754606,0.8771594702290081,0.915719325754606,0.7485595021568086,0.9193729662974067,0.915719325754606,0.7762970742773602,0.915719325754606,0.915719325754606,0.7319277604305973,0.9254484054413559,0.7255644462438214,0.969939879759519,0.9877333333333334,0.6495327102803738,0.32608695652173914,0.9045454545454545,0.3448275862068966,0.9408284023668639,0.968,0.9255372313843079,0.6915422885572139,0.3,0.995,0.6,0.954,0.5497445,0.3012566,368457792,12527564928,188.18056917190552,101895
34,0.9035672285378283,0.8607055065236652,0.9035672285378283,0.7261936241669937,0.9115189868324374,0.9035672285378283,0.7769102932542259,0.9035672285378283,0.9035672285378283,0.7131469707337893,0.9267423021854463,0.7416919552371104,0.9242424242424242,0.9903948772678762,0.6590909090909091,0.3026315789473684,0.8634361233480177,0.29239766081871343,0.9598352214212152,0.976,0.927536231884058,0.43283582089552236,0.69,0.98,0.5,0.932,0.52026594,0.3608365,368457792,12896022720,186.22658371925354,101895
35,0.9192473539788318,0.8828077667345895,0.9192473539788318,0.7579919394289748,0.9239475061834417,0.9192473539788318,0.7946102524430749,0.9192473539788318,0.9192473539788318,0.7321728963659899,0.9309914086892015,0.7558748219197315,0.9526627218934911,0.9879707112970711,0.6163265306122448,0.38509316770186336,0.8914027149321267,0.3302752293577982,0.9614791987673343,0.966,0.9440279860069966,0.7512437810945274,0.62,0.985,0.36,0.936,0.5709435,0.3071573,368457792,13264480512,186.47773456573486,101895
36,0.9008232065856527,0.8562883384952797,0.9008232065856527,0.7227255058229487,0.9060239710207891,0.9008232065856527,0.7717460800516586,0.9008232065856527,0.9008232065856527,0.7210174217617872,0.9210780585035303,0.7277894890245663,0.9190207156308852,0.9887580299785867,0.6952380952380952,0.28793774319066145,0.8091286307053942,0.4016393442622951,0.9453993933265925,0.976,0.9230384807596201,0.36318407960199006,0.74,0.975,0.49,0.935,0.51550674,0.33782738,368457792,13632938304,189.4805474281311,101895
